ISBN,Title,Author,Year,Publisher,Genre,Description,Language,Keywords,Image_URL
0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc,General Fiction,"Bibliographic summary: “The Oneprince (The Redaemian Chronicles, Book 1)” is classified as General Fiction and was written by Bill Hand. It was published by Thomas Nelson Inc in 1992. Search and recommendation terms derived from the available metadata include: oneprince, redaemian, chronicles, hand, general, fiction.",English,"oneprince, redaemian, chronicles, hand, general, fiction",http://images.amazon.com/images/P/0840734530.01.MZZZZZZZ.jpg
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,Mystery & Thriller,"Bibliographic summary: “The Sum of All Fears” is classified as Mystery & Thriller and was written by Tom Clancy. It was published by Berkley Publishing Group in 2002. Search and recommendation terms derived from the available metadata include: sum, all, fears, clancy, mystery, thriller.",English,"sum, all, fears, clancy, mystery, thriller",http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,General Fiction,"Bibliographic summary: “Care Packages : Letters to Christopher Reeve from Strangers and Other Friends” is classified as General Fiction and was written by DANA REEVE. It was published by Random House in 1999. Search and recommendation terms derived from the available metadata include: care, packages, letters, christopher, reeve, strangers, other, friends, general, fiction.",English,"care, packages, letters, christopher, reeve, strangers, other, friends, general, fiction",http://images.amazon.com/images/P/0375500766.01.MZZZZZZZ.jpg
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,General Fiction,"Bibliographic summary: “O Deus Das Pequenas Coisas” is classified as General Fiction and was written by Roy. It was published by Edicoes Asa in 1998. Search and recommendation terms derived from the available metadata include: deus, das, pequenas, coisas, roy, general, fiction.",English,"deus, das, pequenas, coisas, roy, general, fiction",http://images.amazon.com/images/P/9724119378.01.MZZZZZZZ.jpg
0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book,Romance,"Bibliographic summary: “Lady in Green/Minor Indiscretions (Signet Regency Romance)” is classified as Romance and was written by Barbara Metzger. It was published by Signet Book in 2002. Search and recommendation terms derived from the available metadata include: lady, green, minor, indiscretions, signet, regency, romance, metzger.",English,"lady, green, minor, indiscretions, signet, regency, romance, metzger",http://images.amazon.com/images/P/0451205197.01.MZZZZZZZ.jpg
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,General Fiction,"Bibliographic summary: “One Hundred Years of Solitude” is classified as General Fiction and was written by Gabriel Garcia Marquez. It was published by Perennial in 1998. Search and recommendation terms derived from the available metadata include: one, hundred, years, solitude, marquez, general, fiction.",English,"one, hundred, years, solitude, marquez, general, fiction",http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,General Fiction,"Bibliographic summary: “Little Altars Everywhere: A Novel” is classified as General Fiction and was written by Rebecca Wells. It was published by Perennial in 1996. Search and recommendation terms derived from the available metadata include: little, altars, everywhere, wells, general, fiction.",English,"little, altars, everywhere, wells, general, fiction",http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,General Fiction,"Bibliographic summary: “Coyote Waits (Joe Leaphorn/Jim Chee Novels)” is classified as General Fiction and was written by Tony Hillerman. It was published by HarperTorch in 1992. Search and recommendation terms derived from the available metadata include: coyote, waits, joe, leaphorn, jim, chee, novels, hillerman, general, fiction.",English,"coyote, waits, joe, leaphorn, jim, chee, novels, hillerman, general, fiction",http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,Mystery & Thriller,"Bibliographic summary: “Before I Say Good-Bye” is classified as Mystery & Thriller and was written by Mary Higgins Clark. It was published by Pocket in 2001. Search and recommendation terms derived from the available metadata include: before, say, good, bye, clark, mystery, thriller.",English,"before, say, good, bye, clark, mystery, thriller",http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,History,"Bibliographic summary: “Slow Waltz in Cedar Bend” is classified as History and was written by Robert James Waller. It was published by Warner Books in 1994. Search and recommendation terms derived from the available metadata include: slow, waltz, cedar, bend, waller, history.",English,"slow, waltz, cedar, bend, waller, history",http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg
0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan,General Fiction,"Bibliographic summary: “Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title)” is classified as General Fiction and was written by Rachel Harris. It was published by Pan Macmillan in 2001. Search and recommendation terms derived from the available metadata include: twenty, minute, retreats, revive, spirits, just, minutes, day, pan, self.",English,"twenty, minute, retreats, revive, spirits, just, minutes, day, pan, self",http://images.amazon.com/images/P/0330484516.01.MZZZZZZZ.jpg
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,General Fiction,"Bibliographic summary: “Atonement : A Novel” is classified as General Fiction and was written by IAN MCEWAN. It was published by Anchor in 2003. Search and recommendation terms derived from the available metadata include: atonement, mcewan, general, fiction.",English,"atonement, mcewan, general, fiction",http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg
0393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton & Company,General Fiction,"Bibliographic summary: “Next: The Future Just Happened” is classified as General Fiction and was written by Michael Lewis. It was published by W.W. Norton & Company in 2001. Search and recommendation terms derived from the available metadata include: next, future, just, happened, lewis, general, fiction.",English,"next, future, just, happened, lewis, general, fiction",http://images.amazon.com/images/P/0393020371.01.MZZZZZZZ.jpg
1900850303,The Angelic Darkness,Richard Zimler,1999,Arcadia Books,General Fiction,"Bibliographic summary: “The Angelic Darkness” is classified as General Fiction and was written by Richard Zimler. It was published by Arcadia Books in 1999. Search and recommendation terms derived from the available metadata include: angelic, darkness, zimler, general, fiction.",English,"angelic, darkness, zimler, general, fiction",http://images.amazon.com/images/P/1900850303.01.MZZZZZZZ.jpg
1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd.",Religion & Spirituality,"Bibliographic summary: “The Soulbane Stratagem” is classified as Religion & Spirituality and was written by Norman Jetmundsen. It was published by John Hunt Publishing, Ltd. in 2000. Search and recommendation terms derived from the available metadata include: soulbane, stratagem, jetmundsen, religion, spirituality.",English,"soulbane, stratagem, jetmundsen, religion, spirituality",http://images.amazon.com/images/P/1903019699.01.MZZZZZZZ.jpg
0345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,General Fiction,"Bibliographic summary: “Gangster” is classified as General Fiction and was written by Lorenzo Carcaterra. It was published by Fawcett Books in 2002. Search and recommendation terms derived from the available metadata include: gangster, carcaterra, general, fiction.",English,"gangster, carcaterra, general, fiction",http://images.amazon.com/images/P/0345425294.01.MZZZZZZZ.jpg
0451410319,Hush,Anne Frasier,2002,Onyx Books,General Fiction,"Bibliographic summary: “Hush” is classified as General Fiction and was written by Anne Frasier. It was published by Onyx Books in 2002. Search and recommendation terms derived from the available metadata include: hush, frasier, general, fiction.",English,"hush, frasier, general, fiction",http://images.amazon.com/images/P/0451410319.01.MZZZZZZZ.jpg
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,Horror,"Bibliographic summary: “Whisper of Evil (Hooper, Kay. Evil Trilogy.)” is classified as Horror and was written by Kay Hooper. It was published by Bantam Books in 2002. Search and recommendation terms derived from the available metadata include: whisper, evil, hooper, kay, trilogy, horror.",English,"whisper, evil, hooper, kay, trilogy, horror",http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg
8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza,General Fiction,"Bibliographic summary: “Temor y Temblor” is classified as General Fiction and was written by Soren Kierkegaard. It was published by Alianza in 2001. Search and recommendation terms derived from the available metadata include: temor, temblor, kierkegaard, general, fiction.",English,"temor, temblor, kierkegaard, general, fiction",http://images.amazon.com/images/P/8420639133.01.MZZZZZZZ.jpg
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,General Fiction,"Bibliographic summary: “Estudios sobre el amor” is classified as General Fiction and was written by Jose Ortega Y Gaset. It was published by Downtown Book Center in 2001. Search and recommendation terms derived from the available metadata include: estudios, sobre, amor, gaset, general, fiction.",English,"estudios, sobre, amor, gaset, general, fiction",http://images.amazon.com/images/P/8476409419.01.MZZZZZZZ.jpg
0380778556,Rebecca,Daphne Du Maurier,1994,Avon,General Fiction,"Bibliographic summary: “Rebecca” is classified as General Fiction and was written by Daphne Du Maurier. It was published by Avon in 1994. Search and recommendation terms derived from the available metadata include: rebecca, maurier, general, fiction.",English,"rebecca, maurier, general, fiction",http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg
0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,General Fiction,"Bibliographic summary: “Scarlet Letter” is classified as General Fiction and was written by Nathaniel Hawthorne. It was published by Signet Book in 1993. Search and recommendation terms derived from the available metadata include: scarlet, letter, hawthorne, general, fiction.",English,"scarlet, letter, hawthorne, general, fiction",http://images.amazon.com/images/P/0451525221.01.MZZZZZZZ.jpg
0002740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square,General Fiction,"Bibliographic summary: “Keep It Simple: And Get More Out of Life” is classified as General Fiction and was written by Nick Page. It was published by Trafalgar Square in 1999. Search and recommendation terms derived from the available metadata include: keep, simple, get, more, out, life, page, general, fiction.",English,"keep, simple, get, more, out, life, page, general, fiction",http://images.amazon.com/images/P/0002740230.01.MZZZZZZZ.jpg
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,Biography & Memoir,"Bibliographic summary: “Diary of a Mad Mom-To-Be” is classified as Biography & Memoir and was written by Laura Wolf. It was published by Delta in 2003. Search and recommendation terms derived from the available metadata include: diary, mad, mom, wolf, biography, memoir.",English,"diary, mad, mom, wolf, biography, memoir",http://images.amazon.com/images/P/0385336772.01.MZZZZZZZ.jpg
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf,General Fiction,"Bibliographic summary: “Locked in Time (Laurel Leaf Books)” is classified as General Fiction and was written by LOIS DUNCAN. It was published by Laure Leaf in 1986. Search and recommendation terms derived from the available metadata include: locked, time, laurel, leaf, duncan, general, fiction.",English,"locked, time, laurel, leaf, duncan, general, fiction",http://images.amazon.com/images/P/0440949424.01.MZZZZZZZ.jpg
0505524996,Contact,Susan Grant,2002,Love Spell,Romance,"Bibliographic summary: “Contact” is classified as Romance and was written by Susan Grant. It was published by Love Spell in 2002. Search and recommendation terms derived from the available metadata include: contact, grant, romance.",English,"contact, grant, romance",http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg
0140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,Romance,"Bibliographic summary: “The Brimstone Wedding” is classified as Romance and was written by Barbara Vine. It was published by Penguin Books Ltd in 1997. Search and recommendation terms derived from the available metadata include: brimstone, wedding, vine, romance.",English,"brimstone, wedding, vine, romance",http://images.amazon.com/images/P/0140252800.01.MZZZZZZZ.jpg
0451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc,General Fiction,"Bibliographic summary: “The Catswold Portal” is classified as General Fiction and was written by Shirley Rousseau Murphy. It was published by Roc in 1993. Search and recommendation terms derived from the available metadata include: catswold, portal, murphy, general, fiction.",English,"catswold, portal, murphy, general, fiction",http://images.amazon.com/images/P/0451452755.01.MZZZZZZZ.jpg
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy,Fantasy,"Bibliographic summary: “Through Wolf's Eyes (Wolf)” is classified as Fantasy and was written by Jane Lindskold. It was published by Tor Fantasy in 2002. Search and recommendation terms derived from the available metadata include: wolf's, eyes, wolf, lindskold, fantasy.",English,"wolf's, eyes, wolf, lindskold, fantasy",http://images.amazon.com/images/P/0812575482.01.MZZZZZZZ.jpg
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,History,"Bibliographic summary: “Puerto Vallarta Squeeze” is classified as History and was written by Robert James Waller. It was published by Warner Books in 1995. Search and recommendation terms derived from the available metadata include: puerto, vallarta, squeeze, waller, history.",English,"puerto, vallarta, squeeze, waller, history",http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg
0060801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,General Fiction,"Bibliographic summary: “Tree Grows In Brooklyn” is classified as General Fiction and was written by Betty Smith. It was published by Harpercollins Publisher in 1988. Search and recommendation terms derived from the available metadata include: tree, grows, brooklyn, smith, general, fiction.",English,"tree, grows, brooklyn, smith, general, fiction",http://images.amazon.com/images/P/0060801263.01.MZZZZZZZ.jpg
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books,Romance,"Bibliographic summary: “Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think” is classified as Romance and was written by Cybill Shepherd. It was published by Avon Books in 2001. Search and recommendation terms derived from the available metadata include: cybill, disobedience, how, survived, beauty, pageants, elvis, sex, bruce, willis.",English,"cybill, disobedience, how, survived, beauty, pageants, elvis, sex, bruce, willis",http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg
0140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books,History,"Bibliographic summary: “Snow Angels” is classified as History and was written by Stewart O'Nan. It was published by Penguin Books in 1995. Search and recommendation terms derived from the available metadata include: snow, angels, o'nan, history.",English,"snow, angels, o'nan, history",http://images.amazon.com/images/P/0140250964.01.MZZZZZZZ.jpg
0446527165,Wish You Well,David Baldacci,2000,Warner Books,History,"Bibliographic summary: “Wish You Well” is classified as History and was written by David Baldacci. It was published by Warner Books in 2000. Search and recommendation terms derived from the available metadata include: wish, you, well, baldacci, history.",English,"wish, you, well, baldacci, history",http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,Science Fiction,"Bibliographic summary: “The Hitchhiker's Guide to the Galaxy” is classified as Science Fiction and was written by Douglas Adams. It was published by Pocket in 1982. Search and recommendation terms derived from the available metadata include: hitchhiker's, guide, galaxy, adams, science, fiction.",English,"hitchhiker's, guide, galaxy, adams, science, fiction",http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,Politics & Society,"Bibliographic summary: “Crow Lake (Today Show Book Club #7)” is classified as Politics & Society and was written by Mary Lawson. It was published by Delta in 2003. Search and recommendation terms derived from the available metadata include: crow, lake, today, show, club, lawson, politics, society.",English,"crow, lake, today, show, club, lawson, politics, society",http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg
039575514X,My Antonia,Willa Cather,1995,Mariner Books,General Fiction,"Bibliographic summary: “My Antonia” is classified as General Fiction and was written by Willa Cather. It was published by Mariner Books in 1995. Search and recommendation terms derived from the available metadata include: antonia, cather, general, fiction.",English,"antonia, cather, general, fiction",http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,General Fiction,"Bibliographic summary: “Pen Pals” is classified as General Fiction and was written by Olivia Goldsmith. It was published by Signet Book in 2002. Search and recommendation terms derived from the available metadata include: pen, pals, goldsmith, general, fiction.",English,"pen, pals, goldsmith, general, fiction",http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),Biography & Memoir,"Bibliographic summary: “Bridget Jones's Diary” is classified as Biography & Memoir and was written by Helen Fielding. It was published by Picador (UK) in 1997. Search and recommendation terms derived from the available metadata include: bridget, jones's, diary, fielding, biography, memoir.",English,"bridget, jones's, diary, fielding, biography, memoir",http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,General Fiction,"Bibliographic summary: “Pride and Prejudice (Dover Thrift Editions)” is classified as General Fiction and was written by Jane Austen. It was published by Dover Publications in 1995. Search and recommendation terms derived from the available metadata include: pride, prejudice, dover, thrift, editions, austen, general, fiction.",English,"pride, prejudice, dover, thrift, editions, austen, general, fiction",http://images.amazon.com/images/P/0486284735.01.MZZZZZZZ.jpg
0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin,Mystery & Thriller,"Bibliographic summary: “EYE ON CRIME: HARDY BOYS #153” is classified as Mystery & Thriller and was written by Franklin W. Dixon. It was published by Aladdin in 1998. Search and recommendation terms derived from the available metadata include: eye, crime, hardy, boys, 153, dixon, mystery, thriller.",English,"eye, crime, hardy, boys, 153, dixon, mystery, thriller",http://images.amazon.com/images/P/0671021745.01.MZZZZZZZ.jpg
0671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin,General Fiction,"Bibliographic summary: “Skin And Bones” is classified as General Fiction and was written by Franklin W. Dixon. It was published by Aladdin in 2000. Search and recommendation terms derived from the available metadata include: skin, bones, dixon, general, fiction.",English,"skin, bones, dixon, general, fiction",http://images.amazon.com/images/P/0671047612.01.MZZZZZZZ.jpg
0671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse,Politics & Society,"Bibliographic summary: “LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)” is classified as Politics & Society and was written by Franklin W. Dixon. It was published by Simon Pulse in 1995. Search and recommendation terms derived from the available metadata include: law, jungle, hardy, boys, case, file, 105, dixon, politics, society.",English,"law, jungle, hardy, boys, case, file, 105, dixon, politics, society",http://images.amazon.com/images/P/0671504282.01.MZZZZZZZ.jpg
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group,General Fiction,"Bibliographic summary: “The Cat Who Came to Breakfast (Cat Who... (Hardcover))” is classified as General Fiction and was written by Lilian Jackson Braun. It was published by Putnam Pub Group in 1994. Search and recommendation terms derived from the available metadata include: cat, who, came, breakfast, hardcover, braun, general, fiction.",English,"cat, who, came, breakfast, hardcover, braun, general, fiction",http://images.amazon.com/images/P/0399138684.01.MZZZZZZZ.jpg
0785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,Nelson Books,General Fiction,"Bibliographic summary: “If Singleness Is a Gift, What's the Return Policy?” is classified as General Fiction and was written by Holly Virden. It was published by Nelson Books in 2003. Search and recommendation terms derived from the available metadata include: singleness, gift, what's, return, policy, virden, general, fiction.",English,"singleness, gift, what's, return, policy, virden, general, fiction",http://images.amazon.com/images/P/0785263292.01.MZZZZZZZ.jpg
0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books,General Fiction,"Bibliographic summary: “Always Daddy's Girl: Understanding Your Father's Impact on Who You Are” is classified as General Fiction and was written by H. Norman Wright. It was published by Regal Books in 1989. Search and recommendation terms derived from the available metadata include: always, daddy's, girl, understanding, father's, impact, who, you, wright, general.",English,"always, daddy's, girl, understanding, father's, impact, who, you, wright, general",http://images.amazon.com/images/P/0830714014.01.MZZZZZZZ.jpg
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,General Fiction,"Bibliographic summary: “Night Mare (Xanth Novels (Paperback))” is classified as General Fiction and was written by Piers Anthony. It was published by Del Rey Books in 1990. Search and recommendation terms derived from the available metadata include: night, mare, xanth, novels, paperback, anthony, general, fiction.",English,"night, mare, xanth, novels, paperback, anthony, general, fiction",http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,Science Fiction,"Bibliographic summary: “The Martian Chronicles” is classified as Science Fiction and was written by RAY BRADBURY. It was published by Spectra in 1984. Search and recommendation terms derived from the available metadata include: martian, chronicles, bradbury, science, fiction.",English,"martian, chronicles, bradbury, science, fiction",http://images.amazon.com/images/P/0553278223.01.MZZZZZZZ.jpg
3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,2002,Diogenes,Science Fiction,"Bibliographic summary: “Der illustrierte Mann. ErzÃ?Â¤hlungen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes in 2002. Search and recommendation terms derived from the available metadata include: der, illustrierte, mann, erzã, hlungen, bradbury, science, fiction.",French,"der, illustrierte, mann, erzã, hlungen, bradbury, science, fiction",http://images.amazon.com/images/P/3257203659.01.MZZZZZZZ.jpg
3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag,General Fiction,"Bibliographic summary: “Der KÃ?Â¶nig in Gelb.” is classified as General Fiction and was written by Raymond Chandler. It was published by Diogenes Verlag in 1980. Search and recommendation terms derived from the available metadata include: der, nig, gelb, chandler, general, fiction.",French,"der, nig, gelb, chandler, general, fiction",http://images.amazon.com/images/P/3257207522.01.MZZZZZZZ.jpg
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,Science Fiction,"Bibliographic summary: “Fahrenheit 451” is classified as Science Fiction and was written by Ray Bradbury. It was published by Distribooks Inc in 1994. Search and recommendation terms derived from the available metadata include: fahrenheit, 451, bradbury, science, fiction.",English,"fahrenheit, 451, bradbury, science, fiction",http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,Diogenes Verlag,Science Fiction,"Bibliographic summary: “Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes Verlag in 1981. Search and recommendation terms derived from the available metadata include: die, mars, chroniken, roman, erzã, hlungen, bradbury, science, fiction.",French,"die, mars, chroniken, roman, erzã, hlungen, bradbury, science, fiction",http://images.amazon.com/images/P/3257208634.01.MZZZZZZZ.jpg
3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,Diogenes,Science Fiction,"Bibliographic summary: “Das BÃ?Â¶se kommt auf leisen Sohlen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes in 2003. Search and recommendation terms derived from the available metadata include: das, kommt, auf, leisen, sohlen, bradbury, science, fiction.",German,"das, kommt, auf, leisen, sohlen, bradbury, science, fiction",http://images.amazon.com/images/P/3257208669.01.MZZZZZZZ.jpg
3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,1999,Diogenes Verlag,Science Fiction,"Bibliographic summary: “LÃ?Â¶wenzahnwein. Roman.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes Verlag in 1999. Search and recommendation terms derived from the available metadata include: wenzahnwein, roman, bradbury, science, fiction.",French,"wenzahnwein, roman, bradbury, science, fiction",http://images.amazon.com/images/P/3257210450.01.MZZZZZZZ.jpg
3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Science Fiction,"Bibliographic summary: “Das Kind von morgen. ErzÃ?Â¤hlungen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes Verlag in 2000. Search and recommendation terms derived from the available metadata include: das, kind, von, morgen, erzã, hlungen, bradbury, science, fiction.",German,"das, kind, von, morgen, erzã, hlungen, bradbury, science, fiction",http://images.amazon.com/images/P/3257212054.01.MZZZZZZZ.jpg
3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Science Fiction,"Bibliographic summary: “Die Mechanismen der Freude. ErzÃ?Â¤hlungen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes Verlag in 2000. Search and recommendation terms derived from the available metadata include: die, mechanismen, der, freude, erzã, hlungen, bradbury, science, fiction.",German,"die, mechanismen, der, freude, erzã, hlungen, bradbury, science, fiction",http://images.amazon.com/images/P/3257212429.01.MZZZZZZZ.jpg
3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Science Fiction,"Bibliographic summary: “Familientreffen. ErzÃ?Â¤hlungen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes Verlag in 2000. Search and recommendation terms derived from the available metadata include: familientreffen, erzã, hlungen, bradbury, science, fiction.",French,"familientreffen, erzã, hlungen, bradbury, science, fiction",http://images.amazon.com/images/P/3257214154.01.MZZZZZZZ.jpg
3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,1988,Diogenes Verlag,Science Fiction,"Bibliographic summary: “Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.” is classified as Science Fiction and was written by Ray Bradbury. It was published by Diogenes Verlag in 1988. Search and recommendation terms derived from the available metadata include: der, tod, kommt, schnell, mexico, erzã, hlungen, bradbury, science, fiction.",French,"der, tod, kommt, schnell, mexico, erzã, hlungen, bradbury, science, fiction",http://images.amazon.com/images/P/3257216416.01.MZZZZZZZ.jpg
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,General Fiction,"Bibliographic summary: “Veronika Deschliesst Zu Sterben / Vernika Decides to Die” is classified as General Fiction and was written by Paolo Coelho. It was published by Distribooks in 2002. Search and recommendation terms derived from the available metadata include: veronika, deschliesst, sterben, vernika, decides, die, coelho, general, fiction.",English,"veronika, deschliesst, sterben, vernika, decides, die, coelho, general, fiction",http://images.amazon.com/images/P/3257233051.01.MZZZZZZZ.jpg
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv,General Fiction,"Bibliographic summary: “Die Klone der Joanna May. Roman.” is classified as General Fiction and was written by Fay Weldon. It was published by Dtv in 1993. Search and recommendation terms derived from the available metadata include: die, klone, der, joanna, may, roman, weldon, general, fiction.",German,"die, klone, der, joanna, may, roman, weldon, general, fiction",http://images.amazon.com/images/P/3423116714.01.MZZZZZZZ.jpg
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv,General Fiction,"Bibliographic summary: “Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.” is classified as General Fiction and was written by Arabella Weir. It was published by Dtv in 1998. Search and recommendation terms derived from the available metadata include: ist, mein, hintern, wirklich, dick, tagebuch, einer, empfindsamen, frau, weir.",English,"ist, mein, hintern, wirklich, dick, tagebuch, einer, empfindsamen, frau, weir",http://images.amazon.com/images/P/3423241489.01.MZZZZZZZ.jpg
3426605686,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",General Fiction,"Bibliographic summary: “Haifischfrauen.” is classified as General Fiction and was written by Kiana Davenport. It was published by Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co. in 1996. Search and recommendation terms derived from the available metadata include: haifischfrauen, davenport, general, fiction.",English,"haifischfrauen, davenport, general, fiction",http://images.amazon.com/images/P/3426605686.01.MZZZZZZZ.jpg
